sample_id,filename,source,body_bytes,ae_score,is_formal_ae_grey,label,label_reason,rule_score,rule_fallback_decision,gan_score,gan_recon_err,gan_feat_err,gan_decision_t0.6,gan_decision_t0.8,gan_decision_t1,gan_decision_t1.2,gan_decision_t1.5,gan_decision_t2
generated_08_valid_draft_published_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_published_summary.json,generated_light_mutation,84,1.010472,yes,valid,contains required fields with expected types and normal status values,0.162507,pass,0.936582,1.589696,1.205201,reject,reject,pass,pass,pass,pass
generated_09_valid_archived_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_archived_summary.json,generated_light_mutation,95,1.117394,yes,valid,contains required fields with expected types and common status values,0.163823,pass,1.096111,2.073868,1.260244,reject,reject,reject,pass,pass,pass
generated_10_valid_full_weekly_plan,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_full_weekly_plan.json,generated_light_mutation,119,0.976624,yes,valid,contains required fields with expected types and common status/category values,0.166147,pass,1.180423,2.273326,2.097584,reject,reject,reject,pass,pass,pass
generated_11_invalid_doc_status_string,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_string.json,generated_light_mutation,82,0.897455,yes,invalid,docStatusList should be an array but is a string,0.164456,pass,1.056283,1.581030,4.527355,reject,reject,reject,pass,pass,pass
generated_12_invalid_doc_status_number,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_number.json,generated_light_mutation,78,1.155686,yes,invalid,docStatusList should be an array but is a number,0.163977,pass,1.307698,2.182112,7.337511,reject,reject,reject,reject,pass,pass
generated_13_invalid_doc_status_object,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_object.json,generated_light_mutation,93,0.847646,yes,invalid,docStatusList should be an array but is an object,0.170146,pass,0.939375,1.468965,2.363137,reject,reject,pass,pass,pass,pass
generated_14_invalid_doc_status_null,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_null.json,generated_light_mutation,79,1.150146,yes,invalid,docStatusList should be an array but is null,0.164097,pass,1.301633,2.174268,7.184520,reject,reject,reject,reject,pass,pass
generated_15_invalid_doc_status_bool,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_bool.json,generated_light_mutation,79,1.159297,yes,invalid,docStatusList should be an array but is boolean,0.164097,pass,1.283811,2.159703,6.666397,reject,reject,reject,reject,pass,pass
generated_16_invalid_missing_doc_status_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_tag.json,generated_light_mutation,68,1.052813,yes,invalid,missing required docStatusList field,0.162781,pass,1.115575,1.677864,5.412454,reject,reject,reject,pass,pass,pass
generated_17_invalid_missing_doc_status_symbol_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_symbol_tag.json,generated_light_mutation,69,1.043320,yes,invalid,missing required docStatusList field,0.162900,pass,1.112684,1.685113,5.259121,reject,reject,reject,pass,pass,pass
generated_18_uncertain_tag_review_page,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_tag_review_page.json,generated_light_mutation,101,1.079964,yes,uncertain,additional tag/page fields may be accepted but business semantics were not independently verified,0.175479,pass,0.994180,1.713968,1.599375,reject,reject,pass,pass,pass,pass
generated_19_uncertain_filter_owner,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_filter_owner.json,generated_light_mutation,105,1.169483,yes,uncertain,additional filter object may be accepted but business semantics were not independently verified,0.175957,pass,1.050192,1.897035,1.508680,reject,reject,reject,pass,pass,pass
generated_20_uncertain_sort_clause,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_sort_clause.json,generated_light_mutation,102,1.157061,yes,uncertain,additional sort field may be accepted but ordering semantics were not independently verified,0.171223,pass,1.102640,1.953401,2.540478,reject,reject,reject,pass,pass,pass
generated_21_uncertain_extra_list,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_extra_list.json,generated_light_mutation,105,0.906157,yes,uncertain,additional extra list may be accepted but business semantics were not independently verified,0.171582,pass,0.840093,1.385988,0.691931,reject,reject,pass,pass,pass,pass
